ceeb_id,name,latitude,longitude,inst,city,county,state,country
697032,INSTITUTE APPLIED TECHNOLOGY,24.317777,54.604738,HS,Abu Dhabi,,,UAE
53582,WESTERN CHRISTIAN HIGH SCHOOL,34.09624,-117.652576,HS,Upland,San Bernardino,CA,USA
2,MY SCHOOL IS NOT LISTED DOMEST,,,UNK,N/A,,,USA
998001,UNSPECIFIED APO PACIFIC,,,MIL,APO,,USMIL,US MILITARY
998000,UNSPECIFIED APO EUROPE,,,MIL,APO,,USMIL,US MILITARY
821030,BURNABY SOUTH SECONDARY SCHOOL,49.216012,-122.985157,HS,Burnaby,,BC,CANADA
4950,WESTMONT COLLEGE,34.448843,-119.661031,CC,Santa Barbara,Santa Barbara,CA,USA
694553,WEIHAI NO 1 HIGH SCHOOL,37.519264,122.093425,HS,Weihai,,,CHINA
694421,GUIYANG NO 1 HIGH SCHOOL,26.621229,106.628355,HS,Guiyang,,,CHINA
694425,HARBIN NO 3 HIGH SCHOOL,45.718745,126.537784,HS,Harbin,,,CHINA
694265,CHANGJUN HIGH SCHOOL-CHANGSHA,28.190412,112.875339,HS,Changsha,,,CHINA
821600,VANCOUVER COLLEGE,49.28473,-123.123086,HS,Vancouver,,BC,CANADA
821060,BRENTWOOD COLLEGE SCHOOL,48.652517,-123.554875,HS,Cowichan Valley,,BC,CANADA
821780,WEST VANCOUVER SECONDARY SCH,49.337816,-123.161138,HS,West Vancouver,,BC,CANADA
826401,WHITE OAKS SECONDARY SCHOOL,43.46348,-79.701964,HS,"Oakville",,ON,CANADA
821760,SENTINEL SECONDARY SCHOOL,49.345281,-123.150362,HS,West Vancouver,,BC,CANADA
826219,SIR WINSTON CHURCHILL SEC SCH,43.237438,-79.795833,HS,"Hamilton",,ON,CANADA
826422,ASHBURY COLLEGE,45.447736,-75.675783,HS,Ottawa,,ON,CANADA
821800,EARL MARRIOTT SECONDARY SCHOOL,49.031724,-122.785634,HS,"Surrey",,BC,CANADA
824270,ST GEORGES HIGH SCHOOL,49.247525,-123.199154,HS,Vancouver,,BC,CANADA
821805,SEMIAHMOO SECONDARY SCHOOL,49.034944,-122.813845,HS,"Surrey",,BC,CANADA
821749,COLLINGWOOD SCHOOL,49.360363,-123.120241,HS,West Vancouver,,BC,CANADA
821718,ST MARGARETS SCHOOL,48.480636,-123.363785,HS,"Victoria",,BC,CANADA
52448,SONOMA MOUNTAIN HIGH SCHOOL,38.241248,-122.597852,HS,Petaluma,Sonoma,CA,USA
52455,SAINT VINCENT HIGH SCHOOL,38.243386,-122.650076,HS,Petaluma,Sonoma,CA,USA
52460,PETALUMA HIGH SCHOOL,38.228005,-122.647517,HS,Petaluma,Sonoma,CA,USA
52678,RANCHO COTATE HIGH SCHOOL,38.341082,-122.683288,HS,Rohnert Park,Sonoma,CA,USA
643150,INTERNATIONAL SCH TANGANYIKA,-6.759919,39.277789,HS,Dar es Salaam,,,TANZANIA
653060,INTERNATIONAL SCH OF MYANMAR,16.840848,96.16186,HS,Yangon,,,MYANMAR
683082,NEW ENGLISH SCHOOL,29.315814,48.049818,HS,Kuwait City,,,KUWAIT
4129,UC MERCED,37.364875,-120.4254,4Y,Merced,Merced,CA,USA
4692,SANTA ROSA JUNIOR COLLEGE,38.4551932,-122.7201417,CC,Santa Rosa,Sonoma,CA,USA
7711,BERKELEY CITY COLLEGE,37.8698168,-122.2698541,CC,Berkeley,Alameda,CA,USA
52058,CAMPOLINDO HIGH SCHOOL,37.867829,-122.126253,HS,Moraga,Contra Costa,CA,USA
990054,NORWAY,,,NATION,N/A,,,NORWAY
990077,UNITED KINGDOM,,,NATION,N/A,,,UNITED KINGDOM
990031,IRAN,,,NATION,N/A,,,IRAN
930100,INTER-AMERICAN ACADEMY,25.802299,-80.222018,HS,Miami,,FL,USA
950290,ESCUELA CAMPO ALEGRE,10.482348,-66.869434,HS,Miami,,FL,USA
820242,WEBBER ACADEMY,51.044537,-114.225883,HS,Calgary,,AB,CANADA
52218,MAYBECK HIGH SCHOOL,37.860907,-122.252469,HS,Berkeley,Alameda,CA,USA
52483,CHARTER COMMUNITY SCHOOL,38.722081,-120.866778,HS,Placerville,El Dorado,CA,USA
30153,MOUNTAIN RIDGE HIGH SCHOOL,33.531753,-112.177935,HS,Glendale,,AZ,USA
30157,MESQUITE HIGH SCHOOL,33.335401,-111.815281,HS,Gilbert,,AZ,USA
52625,DE ANZA HIGH SCHOOL,37.967971,-122.2875,HS,Richmond,Contra Costa,CA,USA
4295,DIABLO VALLEY COLLEGE,37.968948,-122.071291,CC,Pleasant Hill,Contra Costa,CA,USA
694292,WUXI NO 1 HIGH SCHOOL,31.578432,120.28383,HS,Wuxi,,,CHINA
694297,XIAN GAO XIN NO 1 HIGH SCHOOL,34.223554,108.890665,HS,Xi'an,,,CHINA
694277,CHENGDU SHI SHI HIGH SCHOOL,30.651856,104.058197,HS,Chengdu,,,CHINA
694279,BEIJING LUHE HIGH SCHOOL,39.900945,116.653572,HS,Beijing,,,CHINA
694282,BEIJING SHUNYI NIULANSHAN FRST,40.207457,116.655265,HS,Beijing,,,CHINA
4502,MERRITT COLLEGE,37.7895327,-122.1656022,CC,Oakland,Alameda,CA,USA
6507,LAS POSITAS COLLEGE,37.711689,-121.7997617,CC,Livermore,Alameda,CA,USA
52879,GOMPERS HIGH,32.71612,-117.09278,HS,San Diego,San Diego,CA,USA
694266,FUZHOU NO 3 HIGH SCHOOL,26.087447,119.302409,HS,Fuzhou,,,CHINA
792070,AMERICAN SCHOOL OF BARCELONA,41.383901,2.084434,HS,BARCELONA,,,SPAIN
821650,MOUNT DOUGLAS SECONDARY SCHOOL,48.471374,-123.317976,HS,"Victoria",,BC,CANADA
748240,AMERICAN SCHOOL OF MILAN,45.393179,9.216577,HS,MILAN,,,ITALY
4011,CSU EAST BAY,37.656345,-122.056676,4Y,Hayward,Alameda,CA,USA
4048,CSU CHICO,39.729575,-121.847329,4Y,Chico,Butte,CA,USA
4059,HOLY NAMES UNIVERSITY,37.802174,-122.186752,4Y,Oakland,Alameda,CA,USA
4620,PATTEN UNIVERSITY,37.78626,-122.219542,4Y,Oakland,Alameda,CA,USA
30235,NOGALES HIGH SCHOOL,31.367144,-110.950185,HS,Nogales,,AZ,USA
50306,RICHMOND CA COLLEGE PREPRATORY,37.977326,-122.326516,HS,Berkeley,Contra Costa,CA,USA
50311,REALM CHARTER HIGH SCHOOL,37.869366,-122.288105,HS,Berkeley,Alameda,CA,USA
52630,JOHN F KENNEDY HIGH SCHOOL,37.924772,-122.328599,HS,Richmond,Contra Costa,CA,USA
989431,LAS POSITAS CMTY COLLEGE,37.711689,-121.7997617,CC,Livermore,Alameda,CA,USA
651002,INTERNATIONAL SCHOOL OF DHAKA,23.8008,90.419436,HS,Dhaka,,,BANGLADESH
50375,LIBERTY HIGH SCHOOL,37.935787,-121.693969,HS,Brentwood,Contra Costa,CA,USA
50430,CALIPATRIA HIGH SCHOOL,33.125711,-115.523904,HS,Calipatria,Imperial,CA,USA
654013,IBN KHULDOON NATIONAL SCH,26.158586,50.550765,HS,Isa Town,,,BAHRAIN
671921,NAVRACHANA INTL SCHL VADODARA,22.29419,73.121167,HS,Vadodara,,,INDIA
50662,DE LA SALLE HIGH SCHOOL,37.934401,-122.03135,HS,Concord,Contra Costa,CA,USA
50710,JOHN SWETT HIGH SCHOOL,38.052867,-122.221735,HS,Crockett,Contra Costa,CA,USA
50725,SAN RAMON VALLEY HIGH SCHOOL,37.826077,-122.00687,HS,Danville,Contra Costa,CA,USA
50982,CLOVIS WEST HIGH SCHOOL,36.86112,-119.762263,HS,Fresno,Fresno,CA,USA
682500,INTERNATIONAL CHRISTIAN SCHOOL,37.482588,126.769088,HS,Seoul,,,KOREA
687008,HWA CHONG INTERNATIONAL SCHOOL,1.326038,103.801323,HS,Singapore,,,SINGAPORE
54107,METROPOLITAN ARTS & TECH HS,37.732309,-122.382178,HS,San Francisco,San Francisco,CA,USA
53002,MACSA ACADEMIA CALMECAC,37.349789,-121.842115,HS,San Jose,Santa Clara,CA,USA
694267,SHANGHAI COMM INTL SC-HONGQIAO,31.198091,121.409137,HS,Shanghai,,,CHINA
694504,BEIJING BAYI HIGH SCHOOL,39.977941,116.305758,HS,Beijing,,,CHINA
694271,SUZHOU NO 10 SENIOR/MIDDLE SCH,31.300231,120.635137,HS,Suzhou,,,CHINA
52906,FIRST LUTHERAN HIGH SCHOOL,34.314313,-118.459599,HS,Sylmar,Los Angeles,CA,USA
54369,ANIMO LOCKE II CHARTER HS,33.935396,-118.268466,HS,Los Angeles,Los Angeles,CA,USA
142582,LAKE PARK HS-DISTRICT 108,41.973268,-88.055257,HS,Roselle,,IL,USA
30254,SUNRISE MOUNTAIN HIGH SCHOOL,33.677326,-112.238304,HS,Peoria,,AZ,USA
52190,CASTLEMONT BUS INFORM TECH SCH,37.759263,-122.163119,HS,Oakland,Alameda,CA,USA
54196,ALLIANCE COLLEGE-READY ACD #7,34.078001,-118.215701,HS,Los Angeles,Los Angeles,CA,USA
52240,OAKLAND TECHNICAL HIGH SCHOOL,37.832423,-122.25455,HS,Oakland,Alameda,CA,USA
